COMPANY,RPNA_DATE_UTC,TIMESTAMP_UTC,RP_ENTITY_ID,ENTITY_TYPE,NEWS_TYPE,RP_STORY_ID,AEV,RP_STORY_EVENT_INDEX,RP_STORY_EVENT_COUNT,PEQ,BEE,BMQ,BAM,BCA,BER,ANL_CHG,MCQ,RPNA_DATE_UTC,,
US/AMZN,8/1/2018,30:33.9,0157B1,COMP,PRESS-RELEASE,1B03D3EF7A82F89AEE682BEB70D96F35,45,3,9,100,50,50,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,00:01.8,0157B1,COMP,PRESS-RELEASE,4D15129C0C05DB02EAE167B82008133D,45,1,1,50,50,100,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,07:11.4,0157B1,COMP,PRESS-RELEASE,883413F8D7769910526375A6613A4C9F,45,3,3,50,50,50,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,18:07.0,0157B1,COMP,PRESS-RELEASE,F08759EAEFA696CE8EF5984A23A5A3CD,45,1,5,50,50,100,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,50:01.6,0157B1,COMP,PRESS-RELEASE,5B146ECE299800122E84121958207C54,45,3,3,50,50,50,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,04:02.6,0157B1,COMP,PRESS-RELEASE,F35A72C55178F355251241A9CB7D7187,45,1,2,50,50,50,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,41:04.7,0157B1,COMP,PRESS-RELEASE,6BE4BD8E0FCC2F51BB36F5BF3957DA1B,45,2,4,50,50,50,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,00:04.0,0157B1,COMP,PRESS-RELEASE,72458CC3B6EABD83A3D449D2963FFDDA,45,1,3,50,100,50,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,30:00.3,0157B1,COMP,PRESS-RELEASE,02E3B4BFABDF6CA41B25EF0BCFDABCEC,45,4,26,100,50,50,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,00:05.4,0157B1,COMP,PRESS-RELEASE,A2A2AB6DBFAEB7CC1B98C87994EDE340,45,3,6,100,100,50,50,100,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,30:04.4,0157B1,COMP,PRESS-RELEASE,9BC641B975179D99E807ABDD38838B03,45,3,3,50,50,50,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,05:02.4,0157B1,COMP,PRESS-RELEASE,60FE1F580E5934490833C03674D68181,45,2,2,50,50,50,50,100,100,50,50,8/1/2018,,
US/AMZN,8/1/2018,00:02.9,0157B1,COMP,PRESS-RELEASE,417B3EBB1ABA0A5274AA86FA1649394E,45,2,5,50,50,100,50,50,50,50,100,8/1/2018,,
US/AMZN,9/1/2018,00:02.9,0157B1,COMP,PRESS-RELEASE,D92F43E3F213E021A61F42A1AF63F4C9,45,2,2,50,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,33:45.8,0157B1,COMP,PRESS-RELEASE,1D8BB17BE7AE879C898850FAE19A13DD,45,2,2,50,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,35:51.1,0157B1,COMP,PRESS-RELEASE,E6DCB097BFB7798E478F20807A6C067D,45,3,3,100,50,100,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,05:00.3,0157B1,COMP,PRESS-RELEASE,D4BFD9B9E261E0A74392A5409D935700,45,3,3,50,50,100,50,100,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,36:05.3,0157B1,COMP,PRESS-RELEASE,3260315186986F213587481D862A4CC2,45,1,1,50,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,00:25.2,0157B1,COMP,PRESS-RELEASE,41A8EC1C9C5A3A18E6285DEF36539A85,45,1,3,50,50,100,50,50,50,50,100,9/1/2018,,
US/AMZN,9/1/2018,00:49.3,0157B1,COMP,PRESS-RELEASE,271B32686991E45BEE82B058D3920AB7,45,1,3,50,50,100,50,50,50,50,100,9/1/2018,,
US/AMZN,9/1/2018,59:17.5,0157B1,COMP,PRESS-RELEASE,39D99FCC78A5F0C9E30210138945F4FF,45,3,3,50,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,30:00.3,0157B1,COMP,PRESS-RELEASE,50B60321B6289B346AE0BA3A30370AFF,45,1,1,50,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,00:03.5,0157B1,COMP,PRESS-RELEASE,622CCAFA02B4B32D8C25530EEE64EF6C,45,4,5,100,50,100,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,30:06.4,0157B1,COMP,PRESS-RELEASE,0B30B9526E1B22C0F4956180DDB19741,45,4,9,100,50,100,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,00:00.3,0157B1,COMP,PRESS-RELEASE,6E10ECF47E66C2E35327939864A59F7C,45,2,3,50,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,00:01.1,0157B1,COMP,PRESS-RELEASE,0A5D2290F47B3A24FC2B02581BC44EEE,45,4,5,50,50,50,50,50,0,50,50,9/1/2018,,
US/AMZN,9/1/2018,00:04.9,0157B1,COMP,PRESS-RELEASE,BAAD420FBE331C81E9E14EA6164DB659,45,1,4,50,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,00:09.9,0157B1,COMP,PRESS-RELEASE,D53F7941A3C1A3A47CC3E5B6D036BB8C,45,2,2,50,50,100,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,30:06.1,0157B1,COMP,PRESS-RELEASE,82C6197D72C157F323021564793EBFC3,45,2,3,100,50,100,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,35:01.6,0157B1,COMP,PRESS-RELEASE,FE6D5DF0CAC7DEE970A68E293EE171C2,45,4,5,50,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,45:00.4,0157B1,COMP,PRESS-RELEASE,051F356D29CCFD37C1CCD170723D0C0F,45,1,2,50,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,00:02.6,0157B1,COMP,PRESS-RELEASE,4DD2ECF2868A5D931E857030DF3CA8EB,45,6,6,50,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,00:03.2,0157B1,COMP,PRESS-RELEASE,0E4971C22556491AB0CF46A471EBEEB1,45,1,2,50,50,50,50,50,50,50,50,9/1/2018,,
